Variable,Value
y_Customer_3_Airport_4,251.89105357962964
y_Customer_3_Airport_5,251.89105357962964
y_Customer_3_Airport_6,251.89105357962964
y_Customer_3_Airport_7,251.89105357962964
y_Customer_3_Airport_8,251.89105357962964
y_Customer_3_Airport_9,251.89105357962964
y_Customer_3_Airport_10,251.89105357962964
y_Customer_3_Airport_11,251.89105357962964
y_Customer_3_Airport_12,251.89105357962964
y_Customer_3_Airport_13,251.89105357962964
y_Customer_3_Airport_14,251.89105357962964
y_Customer_3_Airport_15,251.89105357962964
y_Customer_3_Airport_16,251.89105357962964
y_Customer_3_Airport_17,251.89105357962964
y_Customer_3_Airport_18,251.89105357962964
y_Customer_3_Airport_19,251.89105357962964
y_Customer_3_Airport_20,251.89105357962964
y_Customer_3_Airport_21,251.89105357962964
y_Customer_3_Airport_22,251.8910535796297
y_Customer_3_Airport_23,251.89105357962964
y_Customer_3_Airport_24,251.89105357962964
y_Customer_3_Airport_25,251.89105357962964
y_Customer_3_Airport_26,251.89105357962964
y_Customer_3_Airport_27,251.89105357962964
y_Customer_3_Airport_28,251.89105357962964
y_Customer_3_Airport_29,251.89105357962964
y_Customer_3_Airport_30,251.89105357962964
x1,0.0
x2,1.0
x_helper_1,1.0
x_helper_2,-0.0
x_point_source,0.0
x_dac,0.0
x_ammonia_splitting,-0.0
point_source_amount,0.0
dac_amount,0.0
x_transport_hydrogen,1.0
x_transport_ammonia,1.0
x_transport_jetfuel,0.0
init_investment,2095238095.238095
capacity_photovoltaic,0.0
capacity_wind,0.5994385264008745
capacity_PEM_electrolyzer,0.26611299370916547
capacity_alkaline_electrolyzer,0.0
capacity_FT_synthesis,0.04499950936102173
capacity_ammonia_synthesis,0.06341958396752917
capacity_ammonia_splitting,0.0
capacity_battery,3.4680575250104027
NPV_t,Value
NPV_0,-1047619048.0
NPV_1,-2000000000.0
NPV_2,-1709562689.0
NPV_3,-1445528771.0
NPV_4,-1205497935.0
NPV_5,-987288085.0
NPV_6,-788915494.0
NPV_7,-608576775.0
NPV_8,-444632484.0
NPV_9,-295592221.0
NPV_10,-160101072.0
NPV_11,-36927300.0
NPV_12,75048856.0
NPV_13,176845362.0
NPV_14,269387640.0
NPV_15,353516983.0
NPV_16,429998204.0
NPV_17,499526587.0
NPV_18,562734208.0
NPV_19,620195682.0
NPV_20,672433385.0
NPV_21,719922206.0
NPV_22,763093862.0
NPV_23,802340821.0
NPV_24,838019876.0
NPV_25,870455379.0
NPV_26,899942201.0
NPV_27,926748402.0
NPV_28,951117677.0
NPV_29,973271562.0
NPV_30,993411458.0
NPV_31,1011720454.0
